"Query","Match","HMDB","PubChem","KEGG","Comment","pathway"
"PC aa C38:4","PC(18:0/20:4(5Z,8Z,11Z,14Z))","HMDB08048","16219824","C00157","1",NA
"Petroselinic acid","Petroselinic acid","HMDB02080","5461010","C08363","1",NA
"Tryptophan","D-Tryptophan","HMDB13609","9060","C00525","1",NA
"PC aa C36:5","PC(16:0/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB07984","24778723","C00157","1",NA
"PC ae C42:0","PC(o-20:0/22:0)","HMDB13443","24779354","","1",NA
"Octadecenoylcarnitine","NA","NA","NA","NA","0",NA
"L-Arabitol","L-Arabitol","HMDB01851","439255","C00532","1",NA
"PC aa C36:6","PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB07892","24778639","C00157","1",NA
"PC ae C42:2","PC(o-18:2(9Z,12Z)/24:0)","HMDB13438","53481741","","1",NA
"PC ae C42:3","PC(o-24:0/18:3(6Z,9Z,12Z))","HMDB13458","53481771","","1",NA
"Octadecadienylcarnitine","NA","NA","NA","NA","0",NA
"PC ae C36:0","PC(o-16:0/20:0)","HMDB13406","24779297","","1",NA
"PC ae C40:5","PC(o-20:1(11Z)/20:4(8Z,11Z,14Z,17Z))","HMDB13444","53481743","","1",NA
"PC aa C36:4","PC(18:2(9Z,12Z)/18:2(9Z,12Z))","HMDB08138","5288075","C00157","1",NA
"PC aa C32:0","PC(14:0/18:0)","HMDB07871","131150","C00157","1",NA
"Hydroxyvalerylcarnitine","Hydroxyvalerylcarnitine","HMDB13132","53481626","","1",NA
"PC aa C34:3","PC(16:0/18:3(6Z,9Z,12Z))","HMDB07974","24778699","C00157","1",NA
"PC ae C40:2","PC(o-18:2(9Z,12Z)/22:0)","HMDB13437","53481739","","1",NA
"PC ae C38:0","PC(o-16:0/22:0)","HMDB13408","24779301","","1",NA
"PC aa C42:4","PC(20:0/22:4(7Z,10Z,13Z,16Z))","HMDB08285","52923087","C00157","1",NA
"PC aa C32:3","PC(14:0/18:3(9Z,12Z,15Z))","HMDB07876","24778625","C00157","1",NA
"D-Xylose","D-Xylose","HMDB00098","135191","C00181","1",NA
"PC ae C32:1","PC(o-16:0/16:1(9Z))","HMDB13404","52923742","","1",NA
"Hydroxytetradecadienoylcarnitine","NA","NA","NA","NA","0",NA
"3-Hydroxy-cis-5-tetradecenoylcarnitine","3-Hydroxy-cis-5-tetradecenoylcarnitine","HMDB13330","53481679","","1",NA
"PC ae C38:5","PC(o-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))","HMDB13432","24779379","","1",NA
"PC aa C38:5","PC(16:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB07989","24778735","C00157","1",NA
"PC ae C30:0","PC(o-14:0/16:0)","HMDB13341","24779275","","1",NA
"PC aa C40:1","PC(16:0/24:1(15Z))","HMDB07993","24778745","C00157","1",NA
"Butyrylcarnitine","Butyrylcarnitine","HMDB02013","439829","C02862","1",NA
"Dodecanoylcarnitine","Dodecanoylcarnitine","HMDB02250","168381","","1",NA
"PC ae C36:4","PC(o-16:0/20:4(8Z,11Z,14Z,17Z))","HMDB13407","53481701","","1",NA
"Glycolic acid","Glycolic acid","HMDB00115","757","C00160","1",NA
"L-Cystine","L-Cystine","HMDB00192","67678","C00491","1",NA
"Hydroxyhexadecadienoylcarnitine","NA","NA","NA","NA","0",NA
"D-Threitol","D-Threitol","HMDB04136","169019","C16884","1",NA
"PC ae C34:0","PC(o-16:0/18:0)","HMDB13405","11803170","","1",NA
"PC ae C38:6","PC(o-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB13409","16759366","","1",NA
"PC aa C40:4","PC(18:0/22:4(7Z,10Z,13Z,16Z))","HMDB08054","24778868","C00157","1",NA
"PC ae C36:3","PC(o-18:1(9Z)/18:2(9Z,12Z))","HMDB13429","6443159","","1",NA
"PC aa C38:6","PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB07991","6441886","C00157","1",NA
"N-Acetylornithine","N-Acetylornithine","HMDB03357","439232","C00437","1",NA
"PC ae C38:4","PC(o-18:0/20:4(8Z,11Z,14Z,17Z))","HMDB13420","6443065","","1",NA
"PC aa C24:0","NA","NA","NA","NA","0",NA
"PC aa C40:6","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB08057","24778876","C00157","1",NA
"D-2-Hydroxyglutaric acid","D-2-Hydroxyglutaric acid","HMDB00606","439391","C01087","1",NA
"PC ae C40:1","PC(o-18:1(9Z)/22:0)","HMDB13433","53481731","","1",NA
"PC ae C32:2","PC(o-16:1(9Z)/16:1(9Z))","HMDB13411","53481705","","1",NA
"PC aa C36:1","PC(18:0/18:1(11Z))","HMDB08037","24778815","C00157","1",NA
"PC aa C36:0","PC(18:0/18:0)","HMDB08036","94190","C00157","1",NA
"PC ae C42:4","PC(o-22:0/20:4(8Z,11Z,14Z,17Z))","HMDB13448","53481751","","1",NA
"PC ae C42:1","PC(o-18:1(9Z)/24:0)","HMDB13434","53481733","","1",NA
"PC aa C34:2","PC(16:0/18:2(9Z,12Z))","HMDB07973","5287971","C00157","1",NA
"PC aa C36:2","PC(18:1(9Z)/18:1(9Z)) ","HMDB00593","6437081","C00157","1",NA
"PC ae C36:2","PC(o-18:0/18:2(9Z,12Z))","HMDB13418","6443070","","1",NA
"PC ae C34:2","PC(O-16:0/18:2(9Z,12Z))","HMDB11151","6443157","","1",NA
"PC aa C32:1","PC(16:0/16:1(9Z))","HMDB07969","6443788","C00157","1",NA
"PC aa C34:1","PC(16:0/18:1(9Z))","HMDB07972","5497103","C00157","1",NA
"PC ae C34:1","PC(o-18:1(9Z)/16:0)","HMDB13426","6443119","","1",NA
"PC aa C42:6","PC(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB08288","24779053","C00157","1",NA
